id,employee_id,policy_id,effective_date,end_date
1,1,2,2022-03-31T00:00:00Z,
2,1,3,2022-03-31T00:00:00Z,
3,1,4,2022-03-31T00:00:00Z,
4,1,5,2022-03-31T00:00:00Z,
5,1,6,2022-03-31T00:00:00Z,
6,1,7,2022-03-31T00:00:00Z,
7,2,1,2023-12-31T00:00:00Z,
8,2,3,2023-12-31T00:00:00Z,
9,2,4,2023-12-31T00:00:00Z,
10,2,5,2023-12-31T00:00:00Z,
11,2,6,2023-12-31T00:00:00Z,
12,2,7,2023-12-31T00:00:00Z,
13,3,2,2024-11-09T00:00:00Z,
14,3,3,2024-11-09T00:00:00Z,
15,3,4,2024-11-09T00:00:00Z,
16,3,5,2024-11-09T00:00:00Z,
17,3,6,2024-11-09T00:00:00Z,
18,3,7,2024-11-09T00:00:00Z,
19,4,1,2023-01-06T00:00:00Z,
20,4,3,2023-01-06T00:00:00Z,
21,4,4,2023-01-06T00:00:00Z,
22,4,5,2023-01-06T00:00:00Z,
23,4,6,2023-01-06T00:00:00Z,
24,4,7,2023-01-06T00:00:00Z,
25,5,1,2024-03-08T00:00:00Z,
26,5,3,2024-03-08T00:00:00Z,
27,5,4,2024-03-08T00:00:00Z,
28,5,5,2024-03-08T00:00:00Z,
29,5,6,2024-03-08T00:00:00Z,
30,5,7,2024-03-08T00:00:00Z,
31,6,1,2024-05-16T00:00:00Z,
32,6,3,2024-05-16T00:00:00Z,
33,6,4,2024-05-16T00:00:00Z,
34,6,5,2024-05-16T00:00:00Z,
35,6,6,2024-05-16T00:00:00Z,
36,6,7,2024-05-16T00:00:00Z,
37,7,2,2020-07-10T00:00:00Z,
38,7,3,2020-07-10T00:00:00Z,
39,7,4,2020-07-10T00:00:00Z,
40,7,5,2020-07-10T00:00:00Z,
41,7,6,2020-07-10T00:00:00Z,
42,7,7,2020-07-10T00:00:00Z,
43,8,2,2023-05-26T00:00:00Z,
44,8,3,2023-05-26T00:00:00Z,
45,8,4,2023-05-26T00:00:00Z,
46,8,5,2023-05-26T00:00:00Z,
47,8,6,2023-05-26T00:00:00Z,
48,8,7,2023-05-26T00:00:00Z,
49,9,1,2020-08-24T00:00:00Z,
50,9,3,2020-08-24T00:00:00Z,
51,9,4,2020-08-24T00:00:00Z,
52,9,5,2020-08-24T00:00:00Z,
53,9,6,2020-08-24T00:00:00Z,
54,9,7,2020-08-24T00:00:00Z,
55,10,2,2020-03-18T00:00:00Z,
56,10,3,2020-03-18T00:00:00Z,
57,10,4,2020-03-18T00:00:00Z,
58,10,5,2020-03-18T00:00:00Z,
59,10,6,2020-03-18T00:00:00Z,
60,10,7,2020-03-18T00:00:00Z,
61,11,1,2022-10-31T00:00:00Z,
62,11,3,2022-10-31T00:00:00Z,
63,11,4,2022-10-31T00:00:00Z,
64,11,5,2022-10-31T00:00:00Z,
65,11,6,2022-10-31T00:00:00Z,
66,11,7,2022-10-31T00:00:00Z,
67,12,1,2023-10-23T00:00:00Z,
68,12,3,2023-10-23T00:00:00Z,
69,12,4,2023-10-23T00:00:00Z,
70,12,5,2023-10-23T00:00:00Z,
71,12,6,2023-10-23T00:00:00Z,
72,12,7,2023-10-23T00:00:00Z,
73,13,2,2025-07-08T00:00:00Z,
74,13,3,2025-07-08T00:00:00Z,
75,13,4,2025-07-08T00:00:00Z,
76,13,5,2025-07-08T00:00:00Z,
77,13,6,2025-07-08T00:00:00Z,
78,13,7,2025-07-08T00:00:00Z,
79,14,1,2022-11-27T00:00:00Z,
80,14,3,2022-11-27T00:00:00Z,
81,14,4,2022-11-27T00:00:00Z,
82,14,5,2022-11-27T00:00:00Z,
83,14,6,2022-11-27T00:00:00Z,
84,14,7,2022-11-27T00:00:00Z,
85,15,2,2020-09-22T00:00:00Z,
86,15,3,2020-09-22T00:00:00Z,
87,15,4,2020-09-22T00:00:00Z,
88,15,5,2020-09-22T00:00:00Z,
89,15,6,2020-09-22T00:00:00Z,
90,15,7,2020-09-22T00:00:00Z,
91,16,1,2020-10-18T00:00:00Z,
92,16,3,2020-10-18T00:00:00Z,
93,16,4,2020-10-18T00:00:00Z,
94,16,5,2020-10-18T00:00:00Z,
95,16,6,2020-10-18T00:00:00Z,
96,16,7,2020-10-18T00:00:00Z,
97,17,2,2021-08-26T00:00:00Z,
98,17,3,2021-08-26T00:00:00Z,
99,17,4,2021-08-26T00:00:00Z,
100,17,5,2021-08-26T00:00:00Z,
101,17,6,2021-08-26T00:00:00Z,
102,17,7,2021-08-26T00:00:00Z,
103,18,2,2022-03-22T00:00:00Z,
104,18,3,2022-03-22T00:00:00Z,
105,18,4,2022-03-22T00:00:00Z,
106,18,5,2022-03-22T00:00:00Z,
107,18,6,2022-03-22T00:00:00Z,
108,18,7,2022-03-22T00:00:00Z,
109,19,1,2021-07-17T00:00:00Z,
110,19,3,2021-07-17T00:00:00Z,
111,19,4,2021-07-17T00:00:00Z,
112,19,5,2021-07-17T00:00:00Z,
113,19,6,2021-07-17T00:00:00Z,
114,19,7,2021-07-17T00:00:00Z,
115,20,1,2020-08-13T00:00:00Z,
116,20,3,2020-08-13T00:00:00Z,
117,20,4,2020-08-13T00:00:00Z,
118,20,5,2020-08-13T00:00:00Z,
119,20,6,2020-08-13T00:00:00Z,
120,20,7,2020-08-13T00:00:00Z,
121,21,2,2024-11-28T00:00:00Z,
122,21,3,2024-11-28T00:00:00Z,
123,21,4,2024-11-28T00:00:00Z,
124,21,5,2024-11-28T00:00:00Z,
125,21,6,2024-11-28T00:00:00Z,
126,21,7,2024-11-28T00:00:00Z,
127,22,1,2023-03-08T00:00:00Z,
128,22,3,2023-03-08T00:00:00Z,
129,22,4,2023-03-08T00:00:00Z,
130,22,5,2023-03-08T00:00:00Z,
131,22,6,2023-03-08T00:00:00Z,
132,22,7,2023-03-08T00:00:00Z,
133,23,2,2025-05-10T00:00:00Z,
134,23,3,2025-05-10T00:00:00Z,
135,23,4,2025-05-10T00:00:00Z,
136,23,5,2025-05-10T00:00:00Z,
137,23,6,2025-05-10T00:00:00Z,
138,23,7,2025-05-10T00:00:00Z,
139,24,2,2024-09-09T00:00:00Z,
140,24,3,2024-09-09T00:00:00Z,
141,24,4,2024-09-09T00:00:00Z,
142,24,5,2024-09-09T00:00:00Z,
143,24,6,2024-09-09T00:00:00Z,
144,24,7,2024-09-09T00:00:00Z,
145,25,2,2021-08-16T00:00:00Z,
146,25,3,2021-08-16T00:00:00Z,
147,25,4,2021-08-16T00:00:00Z,
148,25,5,2021-08-16T00:00:00Z,
149,25,6,2021-08-16T00:00:00Z,
150,25,7,2021-08-16T00:00:00Z,
151,26,2,2023-12-29T00:00:00Z,
152,26,3,2023-12-29T00:00:00Z,
153,26,4,2023-12-29T00:00:00Z,
154,26,5,2023-12-29T00:00:00Z,
155,26,6,2023-12-29T00:00:00Z,
156,26,7,2023-12-29T00:00:00Z,
157,27,2,2020-07-06T00:00:00Z,
158,27,3,2020-07-06T00:00:00Z,
159,27,4,2020-07-06T00:00:00Z,
160,27,5,2020-07-06T00:00:00Z,
161,27,6,2020-07-06T00:00:00Z,
162,27,7,2020-07-06T00:00:00Z,
163,28,1,2024-11-04T00:00:00Z,
164,28,3,2024-11-04T00:00:00Z,
165,28,4,2024-11-04T00:00:00Z,
166,28,5,2024-11-04T00:00:00Z,
167,28,6,2024-11-04T00:00:00Z,
168,28,7,2024-11-04T00:00:00Z,
169,29,1,2022-11-26T00:00:00Z,
170,29,3,2022-11-26T00:00:00Z,
171,29,4,2022-11-26T00:00:00Z,
172,29,5,2022-11-26T00:00:00Z,
173,29,6,2022-11-26T00:00:00Z,
174,29,7,2022-11-26T00:00:00Z,
175,30,2,2023-03-27T00:00:00Z,
176,30,3,2023-03-27T00:00:00Z,
177,30,4,2023-03-27T00:00:00Z,
178,30,5,2023-03-27T00:00:00Z,
179,30,6,2023-03-27T00:00:00Z,
180,30,7,2023-03-27T00:00:00Z,
181,31,1,2024-10-22T00:00:00Z,
182,31,3,2024-10-22T00:00:00Z,
183,31,4,2024-10-22T00:00:00Z,
184,31,5,2024-10-22T00:00:00Z,
185,31,6,2024-10-22T00:00:00Z,
186,31,7,2024-10-22T00:00:00Z,
187,32,2,2023-12-15T00:00:00Z,
188,32,3,2023-12-15T00:00:00Z,
189,32,4,2023-12-15T00:00:00Z,
190,32,5,2023-12-15T00:00:00Z,
191,32,6,2023-12-15T00:00:00Z,
192,32,7,2023-12-15T00:00:00Z,
193,33,1,2020-06-25T00:00:00Z,
194,33,3,2020-06-25T00:00:00Z,
195,33,4,2020-06-25T00:00:00Z,
196,33,5,2020-06-25T00:00:00Z,
197,33,6,2020-06-25T00:00:00Z,
198,33,7,2020-06-25T00:00:00Z,
199,34,2,2023-09-03T00:00:00Z,
200,34,3,2023-09-03T00:00:00Z,
201,34,4,2023-09-03T00:00:00Z,
202,34,5,2023-09-03T00:00:00Z,
203,34,6,2023-09-03T00:00:00Z,
204,34,7,2023-09-03T00:00:00Z,
205,35,1,2021-04-16T00:00:00Z,
206,35,3,2021-04-16T00:00:00Z,
207,35,4,2021-04-16T00:00:00Z,
208,35,5,2021-04-16T00:00:00Z,
209,35,6,2021-04-16T00:00:00Z,
210,35,7,2021-04-16T00:00:00Z,
211,36,1,2024-09-13T00:00:00Z,
212,36,3,2024-09-13T00:00:00Z,
213,36,4,2024-09-13T00:00:00Z,
214,36,5,2024-09-13T00:00:00Z,
215,36,6,2024-09-13T00:00:00Z,
216,36,7,2024-09-13T00:00:00Z,
217,37,2,2021-10-04T00:00:00Z,
218,37,3,2021-10-04T00:00:00Z,
219,37,4,2021-10-04T00:00:00Z,
220,37,5,2021-10-04T00:00:00Z,
221,37,6,2021-10-04T00:00:00Z,
222,37,7,2021-10-04T00:00:00Z,
223,38,1,2020-10-17T00:00:00Z,
224,38,3,2020-10-17T00:00:00Z,
225,38,4,2020-10-17T00:00:00Z,
226,38,5,2020-10-17T00:00:00Z,
227,38,6,2020-10-17T00:00:00Z,
228,38,7,2020-10-17T00:00:00Z,
229,39,1,2020-10-12T00:00:00Z,2021-10-18T00:00:00Z
230,39,3,2020-10-12T00:00:00Z,2021-10-18T00:00:00Z
231,39,4,2020-10-12T00:00:00Z,2021-10-18T00:00:00Z
232,39,5,2020-10-12T00:00:00Z,2021-10-18T00:00:00Z
233,39,6,2020-10-12T00:00:00Z,2021-10-18T00:00:00Z
234,39,7,2020-10-12T00:00:00Z,2021-10-18T00:00:00Z
235,40,2,2025-07-02T00:00:00Z,
236,40,3,2025-07-02T00:00:00Z,
237,40,4,2025-07-02T00:00:00Z,
238,40,5,2025-07-02T00:00:00Z,
239,40,6,2025-07-02T00:00:00Z,
240,40,7,2025-07-02T00:00:00Z,
